Ticker,Category,Market_Cap_B,5Y Log Return,Headquarter,Rel_Perf_Pct
XOM,Energy,433.72,0.5437108610293848,TX,-6.642026479011243
CVX,Energy,302.61,0.525424956406495,CA,-8.470616941300225
JPM,Financial,386.32,0.2506952552707796,NY,-35.94358705487176
BRK-A,Financial,663.62,0.3794845834484679,NE,-23.064654237102932
AMZN,Consumer,947.15,0.2815027478981199,WA,-32.86283779213773
MCD,Consumer,192.44,0.6578045067168192,IL,4.767338089732198
AAPL,Technology,2380,1.3127368201747904,CA,70.26056943552932
MSFT,Technology,1890,1.1596343344159705, WA,54.95032085964733
TSLA,Technology,546.73,2.0998221555460557,CA,148.96910297265583
META,Communication,469.01,0.10597984245762831,CA,-50.41512833618689
GOOG,Communication,1170,0.650239481926073,CA,4.010835610657571
